t,x,x_dot,theta,theta_dot,u
0,4.91655e-06,0.00983309,0.149992,-0.0165134,10
0.001,1.96662e-05,0.0196662,0.149967,-0.0330273,10
0.002,4.4249e-05,0.0294994,0.149926,-0.049542,10
0.003,7.8665e-05,0.0393326,0.149868,-0.0660579,10
0.004,0.000122914,0.0491659,0.149794,-0.0825755,10
0.005,0.000176997,0.0589994,0.149703,-0.0990952,10
0.006,0.000240913,0.068833,0.149595,-0.115617,10
0.007,0.000314663,0.0786668,0.149472,-0.132143,10
0.008,0.000398247,0.0885007,0.149331,-0.148671,10
0.009,0.000491665,0.0983349,0.149174,-0.165203,10
0.01,0.000594917,0.108169,0.149001,-0.18174,10
0.011,0.000708003,0.118004,0.148811,-0.198281,10
0.012,0.000830925,0.127839,0.148604,-0.214826,10
0.013,0.000963587,0.137486,0.148381,-0.231004,9.81083
0.014,0.00110579,0.146918,0.148142,-0.246764,9.5957
0.015,0.00125732,0.15614,0.147888,-0.262113,9.38491
0.016,0.00141797,0.165157,0.147618,-0.277061,9.17836
0.017,0.00158753,0.173971,0.147334,-0.291617,8.97597
0.018,0.00176581,0.182589,0.147035,-0.305788,8.77766
0.019,0.00195261,0.191013,0.146723,-0.319583,8.58333
0.02,0.00214774,0.199247,0.146396,-0.33301,8.39292
0.021,0.00235101,0.207296,0.146057,-0.346077,8.20633
0.022,0.00256224,0.215163,0.145704,-0.358791,8.0235
0.023,0.00278125,0.222851,0.145339,-0.37116,7.84434
0.024,0.00300786,0.230365,0.144962,-0.383191,7.66877
0.025,0.00324189,0.237707,0.144573,-0.394892,7.49674
0.026,0.00348319,0.244882,0.144173,-0.40627,7.32816
0.027,0.00373157,0.251893,0.143761,-0.417331,7.16297
0.028,0.00398689,0.258742,0.143338,-0.428082,7.00109
0.029,0.00424898,0.265434,0.142905,-0.43853,6.84246
0.03,0.00451768,0.271971,0.142461,-0.448682,6.68701
0.031,0.00479285,0.278356,0.142008,-0.458543,6.53468
0.032,0.00507432,0.284594,0.141544,-0.46812,6.38541
0.033,0.00536196,0.290685,0.141071,-0.477419,6.23912
0.034,0.00565562,0.296635,0.140589,-0.486446,6.09578
0.035,0.00595516,0.302445,0.140099,-0.495206,5.9553
0.036,0.00626044,0.308118,0.139599,-0.503706,5.81764
0.037,0.00657133,0.313656,0.139091,-0.511952,5.68274
0.038,0.00688769,0.319064,0.138575,-0.519948,5.55054
0.039,0.00720939,0.324343,0.138052,-0.527699,5.42099
0.04,0.00753631,0.329496,0.13752,-0.535213,5.29403
0.041,0.00786832,0.334525,0.136981,-0.542492,5.16961
0.042,0.0082053,0.339433,0.136435,-0.549543,5.04769
0.043,0.00854713,0.344223,0.135882,-0.55637,4.9282
0.044,0.00889369,0.348896,0.135323,-0.562978,4.81111
0.045,0.00924486,0.353455,0.134756,-0.569373,4.69636
0.046,0.00960054,0.357903,0.134184,-0.575558,4.58391
0.047,0.00996061,0.362241,0.133605,-0.581538,4.47371
0.048,0.010325,0.366473,0.133021,-0.587317,4.36571
0.049,0.0106935,0.370599,0.132431,-0.592901,4.25987
0.05,0.0110661,0.374622,0.131835,-0.598292,4.15615
0.051,0.0114427,0.378545,0.131234,-0.603496,4.0545
0.052,0.0118232,0.382369,0.130628,-0.608517,3.95488
0.053,0.0122074,0.386096,0.130017,-0.613358,3.85726
0.054,0.0125953,0.389728,0.129402,-0.618023,3.76158
0.055,0.0129868,0.393267,0.128782,-0.622517,3.66782
0.056,0.0133818,0.396715,0.128157,-0.626843,3.57593
0.057,0.0137802,0.400074,0.127528,-0.631005,3.48588
0.058,0.0141819,0.403345,0.126895,-0.635005,3.39763
0.059,0.0145868,0.406531,0.126258,-0.638849,3.31114
0.06,0.0149949,0.409633,0.125617,-0.642539,3.22638
0.061,0.0154061,0.412653,0.124973,-0.646079,3.14331
0.062,0.0158202,0.415592,0.124325,-0.649472,3.0619
0.063,0.0162372,0.418452,0.123674,-0.652722,2.98211
0.064,0.016657,0.421234,0.12302,-0.65583,2.90392
0.065,0.0170796,0.423941,0.122363,-0.658802,2.82729
0.066,0.0175049,0.426573,0.121702,-0.661639,2.75219
0.067,0.0179327,0.429133,0.121039,-0.664345,2.67858
0.068,0.0183631,0.431621,0.120374,-0.666923,2.60645
0.069,0.0187959,0.434039,0.119706,-0.669375,2.53575
0.07,0.0192312,0.436389,0.119035,-0.671705,2.46647
0.071,0.0196687,0.438672,0.118362,-0.673915,2.39856
0.072,0.0201085,0.440889,0.117687,-0.676008,2.33202
0.073,0.0205504,0.443041,0.11701,-0.677986,2.26679
0.074,0.0209945,0.445131,0.116331,-0.679852,2.20287
0.075,0.0214407,0.447158,0.115651,-0.681609,2.14022
0.076,0.0218888,0.449125,0.114968,-0.683259,2.07882
0.077,0.0223389,0.451032,0.114284,-0.684805,2.01865
0.078,0.0227908,0.452881,0.113599,-0.686249,1.95967
0.079,0.0232446,0.454673,0.112912,-0.687592,1.90187
0.08,0.0237002,0.45641,0.112223,-0.688839,1.84522
0.081,0.0241574,0.458091,0.111534,-0.68999,1.78969
0.082,0.0246163,0.459719,0.110844,-0.691049,1.73528
0.083,0.0250768,0.461294,0.110152,-0.692016,1.68194
0.084,0.0255389,0.462817,0.10946,-0.692895,1.62967
0.085,0.0260024,0.464291,0.108766,-0.693687,1.57844
0.086,0.0264674,0.465714,0.108072,-0.694395,1.52823
0.087,0.0269338,0.467089,0.107378,-0.695019,1.47901
0.088,0.0274016,0.468417,0.106682,-0.695564,1.43078
0.089,0.0278706,0.469698,0.105986,-0.696029,1.3835
0.09,0.028341,0.470934,0.10529,-0.696417,1.33716
0.091,0.0288125,0.472124,0.104594,-0.696731,1.29175
0.092,0.0292852,0.473271,0.103897,-0.696971,1.24724
0.093,0.029759,0.474375,0.1032,-0.697139,1.20361
0.094,0.0302339,0.475438,0.102503,-0.697237,1.16084
0.095,0.0307099,0.476458,0.101805,-0.697268,1.11893
0.096,0.0311868,0.477439,0.101108,-0.697231,1.07785
0.097,0.0316647,0.47838,0.100411,-0.69713,1.03758
0.098,0.0321436,0.479282,0.0997138,-0.696965,0.998118
0.099,0.0326233,0.480146,0.099017,-0.696739,0.959434
0.1,0.0331038,0.480973,0.0983204,-0.696452,0.921518
0.101,0.0335852,0.481763,0.0976241,-0.696106,0.884353
0.102,0.0340673,0.482518,0.0969282,-0.695703,0.847925
0.103,0.0345502,0.483238,0.0962327,-0.695244,0.812219
0.104,0.0350338,0.483923,0.0955377,-0.69473,0.77722
0.105,0.035518,0.484575,0.0948433,-0.694163,0.742914
0.106,0.0360029,0.485194,0.0941495,-0.693544,0.709287
0.107,0.0364884,0.485781,0.0934562,-0.692874,0.676326
0.108,0.0369745,0.486335,0.0927637,-0.692155,0.644017
0.109,0.0374611,0.486859,0.092072,-0.691388,0.612348
0.11,0.0379482,0.487353,0.091381,-0.690574,0.581304
0.111,0.0384358,0.487817,0.0906908,-0.689714,0.550874
0.112,0.0389238,0.488252,0.0900016,-0.688809,0.521046
0.113,0.0394123,0.488658,0.0893132,-0.687862,0.491807
0.114,0.0399011,0.489036,0.0886259,-0.686872,0.463145
0.115,0.0403903,0.489387,0.0879395,-0.68584,0.435049
0.116,0.0408799,0.48971,0.0872542,-0.684769,0.407507
0.117,0.0413697,0.490008,0.08657,-0.683659,0.380509
0.118,0.0418599,0.490279,0.0858869,-0.68251,0.354043
0.119,0.0423503,0.490526,0.085205,-0.681325,0.328099
0.12,0.0428409,0.490748,0.0845243,-0.680104,0.302666
0.121,0.0433317,0.490945,0.0838448,-0.678847,0.277734
0.122,0.0438228,0.491118,0.0831666,-0.677557,0.253293
0.123,0.044314,0.491269,0.0824897,-0.676233,0.229333
0.124,0.0448053,0.491396,0.0818142,-0.674877,0.205844
0.125,0.0452968,0.491501,0.08114,-0.673489,0.182818
0.126,0.0457883,0.491584,0.0804672,-0.672071,0.160244
0.127,0.0462799,0.491646,0.0797959,-0.670624,0.138114
0.128,0.0467716,0.491686,0.079126,-0.669147,0.116418
0.129,0.0472633,0.491706,0.0784576,-0.667643,0.0951482
0.13,0.047755,0.491706,0.0777907,-0.666111,0.074296
0.131,0.0482467,0.491686,0.0771254,-0.664552,0.0538528
0.132,0.0487383,0.491646,0.0764616,-0.662968,0.0338105
0.133,0.04923,0.491588,0.0757995,-0.661359,0.014161
0.134,0.0497215,0.491511,0.0751389,-0.659726,-0.00510352
0.135,0.050213,0.491415,0.07448,-0.65807,-0.0239908
0.136,0.0507043,0.491302,0.0738228,-0.65639,-0.0425083
0.137,0.0511956,0.491171,0.0731673,-0.654688,-0.0606636
0.138,0.0516867,0.491023,0.0725134,-0.652965,-0.0784639
0.139,0.0521776,0.490858,0.0718613,-0.651221,-0.0959162
0.14,0.0526684,0.490677,0.071211,-0.649457,-0.113027
0.141,0.0531589,0.490479,0.0705624,-0.647673,-0.129805
0.142,0.0536493,0.490266,0.0699157,-0.645871,-0.146254
0.143,0.0541395,0.490037,0.0692707,-0.64405,-0.162383
0.144,0.0546294,0.489793,0.0686276,-0.642211,-0.178197
0.145,0.055119,0.489534,0.0679863,-0.640355,-0.193703
0.146,0.0556084,0.48926,0.0673469,-0.638483,-0.208907
0.147,0.0560976,0.488972,0.0667093,-0.636594,-0.223815
0.148,0.0565864,0.488671,0.0660737,-0.63469,-0.238433
0.149,0.0570749,0.488355,0.06544,-0.632771,-0.252766
0.15,0.0575631,0.488026,0.0648082,-0.630837,-0.266821
0.151,0.0580509,0.487684,0.0641783,-0.62889,-0.280603
0.152,0.0585384,0.487328,0.0635504,-0.626929,-0.294117
0.153,0.0590256,0.486961,0.0629245,-0.624954,-0.307368
0.154,0.0595124,0.48658,0.0623005,-0.622968,-0.320363
0.155,0.0599987,0.486188,0.0616785,-0.620969,-0.333105
0.156,0.0604847,0.485784,0.0610586,-0.618959,-0.3456
0.157,0.0609703,0.485368,0.0604406,-0.616937,-0.357854
0.158,0.0614555,0.48494,0.0598247,-0.614905,-0.36987
0.159,0.0619402,0.484501,0.0592108,-0.612862,-0.381653
0.16,0.0624245,0.484052,0.058599,-0.610809,-0.393208
0.161,0.0629083,0.483592,0.0579892,-0.608747,-0.40454
0.162,0.0633916,0.483121,0.0573815,-0.606676,-0.415653
0.163,0.0638745,0.482639,0.0567759,-0.604595,-0.426552
0.164,0.0643569,0.482148,0.0561723,-0.602507,-0.43724
0.165,0.0648388,0.481647,0.0555709,-0.60041,-0.447721
0.166,0.0653202,0.481136,0.0549715,-0.598306,-0.458001
0.167,0.0658011,0.480615,0.0543742,-0.596195,-0.468082
0.168,0.0662814,0.480086,0.0537791,-0.594076,-0.477969
0.169,0.0667612,0.479547,0.0531861,-0.591951,-0.487665
0.17,0.0672405,0.478999,0.0525952,-0.589819,-0.497175
0.171,0.0677192,0.478442,0.0520065,-0.587682,-0.506502
0.172,0.0681974,0.477877,0.0514199,-0.585539,-0.51565
0.173,0.068675,0.477303,0.0508354,-0.58339,-0.524621
0.174,0.069152,0.476721,0.0502531,-0.581237,-0.53342
0.175,0.0696284,0.476131,0.0496729,-0.579078,-0.54205
0.176,0.0701043,0.475533,0.0490949,-0.576915,-0.550515
0.177,0.0705795,0.474928,0.0485191,-0.574748,-0.558817
0.178,0.0710541,0.474314,0.0479454,-0.572577,-0.566959
0.179,0.0715281,0.473694,0.0473739,-0.570402,-0.574946
0.18,0.0720015,0.473066,0.0468046,-0.568224,-0.582779
0.181,0.0724742,0.472431,0.0462375,-0.566043,-0.590463
0.182,0.0729463,0.471788,0.0456726,-0.563859,-0.597999
0.183,0.0734178,0.471139,0.0451098,-0.561672,-0.60539
0.184,0.0738886,0.470484,0.0445492,-0.559482,-0.612641
0.185,0.0743588,0.469821,0.0439908,-0.557291,-0.619752
0.186,0.0748283,0.469153,0.0434346,-0.555097,-0.626728
0.187,0.0752971,0.468478,0.0428806,-0.552902,-0.63357
0.188,0.0757652,0.467796,0.0423288,-0.550705,-0.640281
0.189,0.0762327,0.467109,0.0417792,-0.548507,-0.646864
0.19,0.0766994,0.466416,0.0412318,-0.546307,-0.653321
0.191,0.0771655,0.465717,0.0406866,-0.544107,-0.659655
0.192,0.0776309,0.465012,0.0401436,-0.541906,-0.665868
0.193,0.0780955,0.464302,0.0396028,-0.539704,-0.671962
0.194,0.0785595,0.463586,0.0390642,-0.537502,-0.67794
