t,x,x_dot,theta,theta_dot,u
0,1.53495e-06,0.0030699,0.149998,-0.0031389,3.22171
0.001,6.13981e-06,0.00613981,0.149994,-0.00627787,3.22171
0.002,1.38146e-05,0.00920972,0.149986,-0.00941698,3.22171
0.003,2.45593e-05,0.0122796,0.149975,-0.0125563,3.22171
0.004,3.83739e-05,0.0153496,0.149961,-0.0156959,3.22171
0.005,5.52584e-05,0.0184195,0.149943,-0.0188359,3.22171
0.006,7.5213e-05,0.0214895,0.149923,-0.0219762,3.22171
0.007,9.82375e-05,0.0245595,0.1499,-0.0251171,3.22171
0.008,0.000124332,0.0276295,0.149873,-0.0282585,3.22171
0.009,0.000153497,0.0306996,0.149843,-0.0314006,3.22171
0.01,0.000185731,0.0337697,0.14981,-0.0345434,3.22171
0.011,0.000221036,0.0368398,0.149774,-0.0376869,3.22171
0.012,0.000259411,0.03991,0.149735,-0.0408313,3.22171
0.013,0.000300856,0.0429802,0.149692,-0.0439766,3.22171
0.014,0.000345371,0.0460504,0.149647,-0.0471229,3.22171
0.015,0.000392957,0.0491207,0.149598,-0.0502703,3.22171
0.016,0.000443613,0.0521911,0.149546,-0.0534188,3.22171
0.017,0.000497339,0.0552615,0.149491,-0.0565684,3.22171
0.018,0.000554136,0.058332,0.149433,-0.0597194,3.22171
0.019,0.000614003,0.0614025,0.149372,-0.0628717,3.22171
0.02,0.00067685,0.0642918,0.149307,-0.0656667,3.03995
0.021,0.000742587,0.0671811,0.14924,-0.0684632,3.03995
0.022,0.000811212,0.0700705,0.149171,-0.0712612,3.03995
0.023,0.000882728,0.07296,0.149098,-0.0740608,3.03995
0.024,0.000957132,0.0758495,0.149022,-0.076862,3.03995
0.025,0.00103443,0.0787391,0.148944,-0.079665,3.03995
0.026,0.00111461,0.0816289,0.148863,-0.0824698,3.03995
0.027,0.00119768,0.0845187,0.148779,-0.0852764,3.03995
0.028,0.00128365,0.0874086,0.148693,-0.0880849,3.03995
0.029,0.0013725,0.0902985,0.148603,-0.0908954,3.03995
0.03,0.00146425,0.0931886,0.148511,-0.0937079,3.03995
0.031,0.00155888,0.0960788,0.148416,-0.0965225,3.03995
0.032,0.0016564,0.0989691,0.148318,-0.0993393,3.03995
0.033,0.00175682,0.101859,0.148217,-0.102158,3.03995
0.034,0.00186012,0.10475,0.148113,-0.10498,3.03995
