t,x,x_dot,theta,theta_dot,u
0,4.68592e-06,0.00937185,0.499996,-0.00704285,10
0.001,1.87437e-05,0.0187437,0.499986,-0.0140859,10
0.002,4.21734e-05,0.0281156,0.499968,-0.0211294,10
0.003,7.49749e-05,0.0374875,0.499944,-0.0281734,10
0.004,0.000117148,0.0468595,0.499912,-0.0352183,10
0.005,0.000168694,0.0562315,0.499873,-0.0422642,10
0.006,0.000229611,0.0656036,0.499827,-0.0493114,10
0.007,0.000299901,0.0749758,0.499775,-0.0563599,10
0.008,0.000379563,0.084348,0.499715,-0.0634102,10
0.009,0.000468597,0.0937204,0.499648,-0.0704622,10
0.01,0.000567004,0.103093,0.499574,-0.0775163,10
0.011,0.000674783,0.112465,0.499493,-0.0845727,10
0.012,0.000791935,0.121838,0.499405,-0.0916315,10
0.013,0.000918459,0.131211,0.499309,-0.0986929,10
0.014,0.00105436,0.140584,0.499207,-0.105757,10
0.015,0.00119963,0.149957,0.499098,-0.112825,10
0.016,0.00135427,0.159331,0.498982,-0.119895,10
0.017,0.00151829,0.168704,0.498858,-0.12697,10
0.018,0.00169168,0.178078,0.498728,-0.134047,10
0.019,0.00187445,0.187452,0.49859,-0.141129,10
0.02,0.00206658,0.196826,0.498445,-0.148215,10
0.021,0.0022681,0.206201,0.498294,-0.155305,10
0.022,0.00247899,0.215576,0.498135,-0.1624,10
0.023,0.00269925,0.224951,0.497969,-0.169499,10
0.024,0.00292889,0.234326,0.497796,-0.176603,10
0.025,0.0031679,0.243701,0.497616,-0.183713,10
0.026,0.00341629,0.253077,0.497428,-0.190828,10
0.027,0.00367406,0.262454,0.497234,-0.197948,10
0.028,0.0039412,0.27183,0.497032,-0.205074,10
0.029,0.00421772,0.281207,0.496824,-0.212206,10
0.03,0.00450361,0.290584,0.496608,-0.219344,10
0.031,0.00479888,0.299962,0.496385,-0.226489,10
0.032,0.00510354,0.309339,0.496155,-0.23364,10
0.033,0.00541756,0.318718,0.495918,-0.240798,10
0.034,0.00574097,0.328096,0.495673,-0.247963,10
0.035,0.00607376,0.337475,0.495422,-0.255135,10
0.036,0.00641592,0.346855,0.495163,-0.262314,10
0.037,0.00676747,0.356235,0.494897,-0.269501,10
0.038,0.00712839,0.365615,0.494624,-0.276696,10
0.039,0.0074987,0.374996,0.494344,-0.283899,10
0.04,0.00787838,0.384377,0.494056,-0.291111,10
0.041,0.00826745,0.393759,0.493762,-0.29833,10
0.042,0.0086659,0.403141,0.49346,-0.305559,10
0.043,0.00907373,0.412524,0.493151,-0.312796,10
0.044,0.00949095,0.421907,0.492834,-0.320042,10
